age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,deposit
59,admin.,married,secondary,0,2343,1,0,0,5,11,1042,1,0,1,1
56,admin.,married,secondary,0,45,0,0,0,5,11,1467,1,0,1,1
41,technician,married,secondary,0,1270,1,0,0,5,11,1389,1,0,1,1
55,services,married,secondary,0,2476,1,0,0,5,11,579,1,0,1,1
54,admin.,married,tertiary,0,184,0,0,0,5,11,673,2,0,1,1
42,management,single,tertiary,0,0,1,1,0,5,11,562,2,0,1,1
56,management,married,tertiary,0,830,1,1,0,6,11,1201,1,0,1,1
60,retired,divorced,secondary,0,545,1,0,0,6,11,1030,1,0,1,1
37,technician,married,secondary,0,1,1,0,0,6,11,608,1,0,1,1
28,services,single,secondary,0,5090,1,0,0,6,11,1297,3,0,1,1
38,admin.,single,secondary,0,100,1,0,0,7,11,786,1,0,1,1
30,blue-collar,married,secondary,0,309,1,0,0,7,11,1574,2,0,1,1
29,management,married,tertiary,0,199,1,1,0,7,11,1689,4,0,1,1
46,blue-collar,single,tertiary,0,460,1,0,0,7,11,1102,2,0,1,1
31,technician,single,tertiary,0,703,1,0,0,8,11,943,2,0,1,1
35,management,divorced,tertiary,0,3837,1,0,0,8,11,1084,1,0,1,1
32,blue-collar,single,primary,0,611,1,0,0,8,11,541,3,0,1,1
41,admin.,married,secondary,0,55,1,0,0,8,11,1120,2,0,1,1
49,admin.,divorced,secondary,0,168,1,1,0,8,11,513,1,0,1,1
28,admin.,divorced,secondary,0,785,1,0,0,8,11,442,2,0,1,1
43,management,single,tertiary,0,2067,1,0,0,8,11,756,1,0,1,1
43,management,divorced,tertiary,0,388,1,0,0,8,11,2087,2,0,1,1
37,unemployed,single,secondary,0,381,1,0,0,8,11,985,2,0,1,1
35,blue-collar,single,secondary,0,40,1,0,0,9,11,617,4,0,1,1
31,technician,single,tertiary,0,22,1,0,0,9,11,483,3,0,1,1
43,blue-collar,single,secondary,0,3,1,0,0,9,11,929,3,0,1,1
31,admin.,married,secondary,0,307,1,0,0,9,11,538,1,0,1,1
28,blue-collar,single,secondary,0,759,1,0,0,9,11,710,1,0,1,1
60,technician,married,primary,0,65,1,0,0,9,11,1028,2,0,1,1
26,blue-collar,single,secondary,0,82,1,0,0,9,11,654,1,0,1,1
40,blue-collar,married,secondary,0,10,1,0,0,9,11,1692,2,0,1,1
33,blue-collar,divorced,primary,0,390,1,0,0,9,11,665,2,0,1,1
32,management,single,tertiary,0,311,0,0,0,12,11,757,2,0,1,1
35,blue-collar,married,primary,0,414,0,0,0,13,11,504,4,0,1,1
33,management,divorced,secondary,0,5,1,0,0,13,11,1346,1,0,1,1
38,management,married,tertiary,0,119,1,0,0,13,11,568,4,0,1,1
23,entrepreneur,single,primary,0,4,1,0,0,13,11,395,2,0,1,1
60,blue-collar,married,primary,0,1262,1,1,0,13,11,1015,1,0,1,1
48,management,married,tertiary,0,1949,1,0,0,13,11,683,2,0,1,1
36,blue-collar,married,secondary,0,1165,1,0,0,13,11,1001,4,0,1,1
52,management,married,unknown,0,2240,1,0,0,13,11,845,1,0,1,1
35,blue-collar,divorced,primary,0,300,1,0,0,13,11,945,2,0,1,1
43,technician,married,secondary,0,3285,1,0,0,13,11,1721,2,0,1,1
52,housemaid,married,secondary,0,3923,1,0,0,14,11,942,3,0,1,1
